sample_nr,label,label_name,unique_label_count,labels_json,has_single_label,row_count,first_global_row,last_global_row,contiguous_segment_count,rows_are_contiguous,first_timestamp,last_timestamp,minimum_timestamp,maximum_timestamp,duration_seconds,timestamp_decrease_count,timestamp_equal_count,positive_delta_count,timestamps_monotonic_nondecreasing,mean_positive_delta_seconds,std_positive_delta_seconds,minimum_positive_delta_seconds,maximum_positive_delta_seconds,estimated_sampling_rate_hz,runtime_state_count,runtime_states_json
15,5,supplementary_operation,1,[5],True,1549,20087,21635,1,True,21384.31,21400.01,21384.31,21400.01,15.7,0,0,1548,True,0.010142118863,0.00133738093247,0.0099999999984,0.0300000000025,98.5987261147,3,"[0, 1, 2]"
16,0,normal_tightening,1,[0],True,1263,21636,22898,1,True,21400.02,21412.7,21400.02,21412.7,12.68,0,0,1262,True,0.0100475435816,0.000794766650978,0.0099999999984,0.0300000000025,99.5268138801,3,"[0, 1, 2]"
17,5,supplementary_operation,1,[5],True,1478,22899,24376,1,True,21412.71,21427.54,21412.71,21427.54,14.83,0,0,1477,True,0.0100406228842,0.000636064952313,0.0099999999984,0.0200000000004,99.5954146999,3,"[0, 1, 2]"
18,0,normal_tightening,1,[0],True,1242,24377,25618,1,True,21427.55,21440.02,21427.55,21440.02,12.47,0,0,1241,True,0.0100483481064,0.000693645099597,0.0099999999984,0.0200000000004,99.5188452285,3,"[0, 1, 2]"
19,5,supplementary_operation,1,[5],True,1479,25619,27097,1,True,21440.03,21454.82,21440.03,21454.82,14.79,0,0,1478,True,0.0100067658999,0.000260025424242,0.0099999999984,0.0200000000004,99.9323867478,3,"[0, 1, 2]"
20,0,normal_tightening,1,[0],True,1194,27098,28291,1,True,21454.83,21466.92,21454.83,21466.92,12.09,0,0,1193,True,0.0101341156748,0.00128781167896,0.0099999999984,0.0300000000025,98.676592225,3,"[0, 1, 2]"
21,5,supplementary_operation,1,[5],True,1388,28292,29679,1,True,21466.93,21480.9,21466.93,21480.9,13.97,0,0,1387,True,0.0100720980534,0.00100208513488,0.0099999999984,0.0299999999988,99.2841803865,3,"[0, 1, 2]"
22,0,normal_tightening,1,[0],True,1386,29680,31065,1,True,21480.91,21494.76,21480.91,21494.76,13.85,0,0,1385,True,0.01,8.63359133608e-10,0.0099999999984,0.010000000002,100,3,"[0, 1, 2]"
23,5,supplementary_operation,1,[5],True,1397,31066,32462,1,True,21494.77,21508.74,21494.77,21508.74,13.97,0,0,1396,True,0.0100071633238,0.000267547985643,0.0099999999984,0.0200000000004,99.9284180386,3,"[0, 1, 2]"
24,0,normal_tightening,1,[0],True,1678,32463,34140,1,True,21508.75,21525.52,21508.75,21525.52,16.77,0,0,1677,True,0.01,0,0.0099999999984,0.010000000002,100,3,"[0, 1, 2]"
25,5,supplementary_operation,1,[5],True,1510,34141,35650,1,True,21525.53,21540.63,21525.53,21540.63,15.1,0,0,1509,True,0.0100066269052,0.000257342449832,0.0099999999984,0.0200000000004,99.9337748344,3,"[0, 1, 2]"
26,0,normal_tightening,1,[0],True,1714,35651,37364,1,True,21540.64,21557.79,21540.64,21557.79,17.15,0,0,1713,True,0.0100116754232,0.000341493655641,0.0099999999984,0.0200000000004,99.8833819242,3,"[0, 1, 2]"
27,5,supplementary_operation,1,[5],True,1512,37365,38876,1,True,21557.8,21572.93,21557.8,21572.93,15.13,0,0,1511,True,0.0100132362674,0.00036357595481,0.0099999999984,0.0200000000004,99.8678122934,3,"[0, 1, 2]"
28,0,normal_tightening,1,[0],True,1296,38877,40172,1,True,21572.94,21585.89,21572.94,21585.89,12.95,0,0,1295,True,0.01,1.04125029291e-09,0.0099999999984,0.010000000002,100,3,"[0, 1, 2]"
29,5,supplementary_operation,1,[5],True,1543,40173,41715,1,True,21585.9,21601.32,21585.9,21601.32,15.42,0,0,1542,True,0.01,4.79992668333e-10,0.0099999999984,0.010000000002,100,3,"[0, 1, 2]"
30,0,normal_tightening,1,[0],True,1714,41716,43429,1,True,21601.33,21618.47,21601.33,21618.47,17.14,0,0,1713,True,0.0100058377116,0.000241543034051,0.0099999999984,0.0200000000004,99.9416569428,3,"[0, 1, 2]"
31,5,supplementary_operation,1,[5],True,1431,43430,44860,1,True,21618.48,21632.78,21618.48,21632.78,14.3,0,0,1430,True,0.01,7.54457514082e-10,0.0099999999984,0.010000000002,100,3,"[0, 1, 2]"
32,0,normal_tightening,1,[0],True,1400,44861,46260,1,True,21632.79,21646.79,21632.79,21646.79,14,0,0,1399,True,0.0100071479628,0.000267261173649,0.0099999999984,0.0200000000004,99.9285714286,2,"[1, 2]"
33,5,supplementary_operation,1,[5],True,1399,46261,47659,1,True,21646.8,21660.79,21646.8,21660.79,13.99,0,0,1398,True,0.0100071530758,0.000267356675135,0.0099999999984,0.0200000000004,99.9285203717,3,"[0, 1, 2]"
34,0,normal_tightening,1,[0],True,1780,47660,49439,1,True,21660.8,21678.6,21660.8,21678.6,17.8,0,0,1779,True,0.0100056211355,0.000237022694133,0.0099999999984,0.0200000000004,99.9438202247,3,"[0, 1, 2]"
35,5,supplementary_operation,1,[5],True,1541,49440,50980,1,True,21678.61,21694.01,21678.61,21694.01,15.4,0,0,1540,True,0.01,4.79992668333e-10,0.0099999999984,0.010000000002,100,3,"[0, 1, 2]"
36,0,normal_tightening,1,[0],True,1741,50981,52721,1,True,21694.02,21711.42,21694.02,21711.42,17.4,0,0,1740,True,0.01,0,0.0099999999984,0.010000000002,100,2,"[1, 2]"
37,5,supplementary_operation,1,[5],True,1529,52722,54250,1,True,21711.43,21726.72,21711.43,21726.72,15.29,0,0,1528,True,0.0100065445026,0.000255738529888,0.0099999999984,0.0200000000004,99.9345977763,3,"[0, 1, 2]"
38,0,normal_tightening,1,[0],True,1721,54251,55971,1,True,21726.73,21743.93,21726.73,21743.93,17.2,0,0,1720,True,0.01,0,0.0099999999984,0.010000000002,100,3,"[0, 1, 2]"
39,5,supplementary_operation,1,[5],True,1491,55972,57462,1,True,21743.94,21758.84,21743.94,21758.84,14.9,0,0,1490,True,0.01,6.16011980703e-10,0.0099999999984,0.010000000002,100,3,"[0, 1, 2]"
40,0,normal_tightening,1,[0],True,1866,57463,59328,1,True,21758.85,21777.51,21758.85,21777.51,18.66,0,0,1865,True,0.0100053619303,0.000231496334003,0.0099999999984,0.0200000000004,99.9464094319,3,"[0, 1, 2]"
41,5,supplementary_operation,1,[5],True,1431,59329,60759,1,True,21777.52,21791.99,21777.52,21791.99,14.47,0,0,1430,True,0.0101188811189,0.00108382584784,0.0099999999984,0.0200000000004,98.8251554941,3,"[0, 1, 2]"
42,0,normal_tightening,1,[0],True,1750,60760,62509,1,True,21792,21809.66,21792,21809.66,17.66,0,0,1749,True,0.0100971983991,0.000981089426026,0.0099999999984,0.0200000000004,99.0373725934,3,"[0, 1, 2]"
43,5,supplementary_operation,1,[5],True,1407,62510,63916,1,True,21809.67,21823.73,21809.67,21823.73,14.06,0,0,1406,True,0.01,8.06549008735e-10,0.0099999999984,0.010000000002,100,3,"[0, 1, 2]"
44,0,normal_tightening,1,[0],True,1742,63917,65658,1,True,21823.74,21841.16,21823.74,21841.16,17.42,0,0,1741,True,0.0100057438254,0.000239593953078,0.0099999999984,0.0200000000004,99.9425947187,3,"[0, 1, 2]"
45,5,supplementary_operation,1,[5],True,1385,65659,67043,1,True,21841.17,21855.01,21841.17,21855.01,13.84,0,0,1384,True,0.01,8.71172497695e-10,0.0099999999984,0.010000000002,100,3,"[0, 1, 2]"
46,0,normal_tightening,1,[0],True,1718,67044,68761,1,True,21855.02,21872.19,21855.02,21872.19,17.17,0,0,1717,True,0.01,0,0.0099999999984,0.010000000002,100,3,"[0, 1, 2]"
47,5,supplementary_operation,1,[5],True,1489,68762,70250,1,True,21872.2,21887.09,21872.2,21887.09,14.89,0,0,1488,True,0.0100067204301,0.000259150799537,0.0099999999984,0.0200000000004,99.9328408328,3,"[0, 1, 2]"
48,0,normal_tightening,1,[0],True,1710,70251,71960,1,True,21887.1,21904.2,21887.1,21904.2,17.1,0,0,1709,True,0.0100058513751,0.000241825375315,0.0099999999984,0.0200000000004,99.9415204678,3,"[0, 1, 2]"
49,5,supplementary_operation,1,[5],True,1481,71961,73441,1,True,21904.21,21919.01,21904.21,21919.01,14.8,0,0,1480,True,0.01,6.58544507983e-10,0.0099999999984,0.010000000002,100,3,"[0, 1, 2]"
50,0,normal_tightening,1,[0],True,1752,73442,75193,1,True,21919.02,21936.53,21919.02,21936.53,17.51,0,0,1751,True,0.01,0,0.0099999999984,0.010000000002,100,3,"[0, 1, 2]"
51,5,supplementary_operation,1,[5],True,1441,75194,76634,1,True,21936.54,21950.95,21936.54,21950.95,14.41,0,0,1440,True,0.0100069444444,0.000263431621283,0.0099999999984,0.0199999999968,99.9306037474,3,"[0, 1, 2]"
52,0,normal_tightening,1,[0],True,1765,76635,78399,1,True,21950.96,21968.6,21950.96,21968.6,17.64,0,0,1764,True,0.01,0,0.0099999999984,0.010000000002,100,3,"[0, 1, 2]"
53,5,supplementary_operation,1,[5],True,1436,78400,79835,1,True,21968.61,21982.97,21968.61,21982.97,14.36,0,0,1435,True,0.0100069686411,0.000263889842922,0.0099999999984,0.0200000000004,99.930362117,2,"[1, 2]"
54,0,normal_tightening,1,[0],True,1762,79836,81597,1,True,21982.98,22000.62,21982.98,22000.62,17.64,0,0,1761,True,0.0100170357751,0.000412392450919,0.0099999999984,0.0200000000004,99.8299319728,3,"[0, 1, 2]"
55,5,supplementary_operation,1,[5],True,1413,81598,83010,1,True,22000.63,22014.75,22000.63,22014.75,14.12,0,0,1412,True,0.01,7.9810323664e-10,0.0099999999984,0.010000000002,100,3,"[0, 1, 2]"
56,0,normal_tightening,1,[0],True,1718,83011,84728,1,True,22014.76,22031.93,22014.76,22031.93,17.17,0,0,1717,True,0.01,0,0.0099999999984,0.010000000002,100,2,"[1, 2]"
57,5,supplementary_operation,1,[5],True,1411,84729,86139,1,True,22031.94,22046.07,22031.94,22046.07,14.13,0,0,1410,True,0.0100212765957,0.000460774634653,0.0099999999984,0.0200000000004,99.7876857749,3,"[0, 1, 2]"
58,0,normal_tightening,1,[0],True,1706,86140,87845,1,True,22046.08,22063.14,22046.08,22063.14,17.06,0,0,1705,True,0.0100058651026,0.00024210870899,0.0099999999984,0.0200000000004,99.9413833529,3,"[0, 1, 2]"
59,5,supplementary_operation,1,[5],True,1334,87846,89179,1,True,22063.15,22076.48,22063.15,22076.48,13.33,0,0,1333,True,0.01,9.67018290297e-10,0.0099999999984,0.010000000002,100,3,"[0, 1, 2]"
60,0,normal_tightening,1,[0],True,1718,89180,90897,1,True,22076.49,22093.66,22076.49,22093.66,17.17,0,0,1717,True,0.01,0,0.0099999999984,0.010000000002,100,3,"[0, 1, 2]"
61,5,supplementary_operation,1,[5],True,1607,90898,92504,1,True,22093.67,22109.73,22093.67,22109.73,16.06,0,0,1606,True,0.01,2.01637252184e-10,0.0099999999984,0.010000000002,100,3,"[0, 1, 2]"
62,0,normal_tightening,1,[0],True,1751,92505,94255,1,True,22109.74,22127.24,22109.74,22127.24,17.5,0,0,1750,True,0.01,0,0.0099999999984,0.010000000002,100,3,"[0, 1, 2]"
63,5,supplementary_operation,1,[5],True,1598,94256,95853,1,True,22127.25,22143.25,22127.25,22143.25,16,0,0,1597,True,0.0100187852223,0.000433011937893,0.0099999999984,0.0200000000004,99.8125,3,"[0, 1, 2]"
64,0,normal_tightening,1,[0],True,1747,95854,97600,1,True,22143.26,22160.72,22143.26,22160.72,17.46,0,0,1746,True,0.01,0,0.0099999999984,0.010000000002,100,3,"[0, 1, 2]"
65,5,supplementary_operation,1,[5],True,1687,97601,99287,1,True,22160.73,22177.6,22160.73,22177.6,16.87,0,0,1686,True,0.0100059311981,0.00024346827693,0.0099999999984,0.0199999999968,99.9407231772,3,"[0, 1, 2]"
66,0,normal_tightening,1,[0],True,1727,99288,101014,1,True,22177.61,22194.87,22177.61,22194.87,17.26,0,0,1726,True,0.01,0,0.0099999999984,0.010000000002,100,2,"[1, 2]"
67,5,supplementary_operation,1,[5],True,1700,101015,102714,1,True,22194.88,22211.87,22194.88,22211.87,16.99,0,0,1699,True,0.01,0,0.0099999999984,0.010000000002,100,3,"[0, 1, 2]"
68,0,normal_tightening,1,[0],True,2121,102715,104835,1,True,22211.88,22233.08,22211.88,22233.08,21.2,0,0,2120,True,0.01,0,0.0099999999984,0.010000000002,100,3,"[0, 1, 2]"
69,5,supplementary_operation,1,[5],True,1718,104836,106553,1,True,22233.09,22250.27,22233.09,22250.27,17.18,0,0,1717,True,0.0100058241118,0.000241261679418,0.0099999999984,0.0200000000004,99.9417927823,3,"[0, 1, 2]"
70,0,normal_tightening,1,[0],True,1697,106554,108250,1,True,22250.28,22267.24,22250.28,22267.24,16.96,0,0,1696,True,0.01,0,0.0099999999984,0.010000000002,100,3,"[0, 1, 2]"
71,5,supplementary_operation,1,[5],True,1719,108251,109969,1,True,22267.25,22284.44,22267.25,22284.44,17.19,0,0,1718,True,0.0100058207218,0.000241191494249,0.0099999999984,0.0200000000004,99.9418266434,2,"[1, 2]"
72,0,normal_tightening,1,[0],True,1736,109970,111705,1,True,22284.45,22301.82,22284.45,22301.82,17.37,0,0,1735,True,0.0100115273775,0.000339324173606,0.0099999999984,0.0200000000004,99.8848589522,3,"[0, 1, 2]"
73,5,supplementary_operation,1,[5],True,1672,111706,113377,1,True,22301.83,22318.55,22301.83,22318.55,16.72,0,0,1671,True,0.0100059844405,0.000244557950151,0.0099999999984,0.0199999999968,99.9401913876,3,"[0, 1, 2]"
74,0,normal_tightening,1,[0],True,1696,113378,115073,1,True,22318.56,22335.53,22318.56,22335.53,16.97,0,0,1695,True,0.01001179941,0.000343299976966,0.0099999999984,0.0200000000004,99.8821449617,2,"[1, 2]"
75,5,supplementary_operation,1,[5],True,1616,115074,116689,1,True,22335.54,22351.71,22335.54,22351.71,16.17,0,0,1615,True,0.0100123839009,0.0003516897045,0.0099999999984,0.0200000000004,99.876314162,3,"[0, 1, 2]"
76,0,normal_tightening,1,[0],True,1716,116690,118405,1,True,22351.72,22368.9,22351.72,22368.9,17.18,0,0,1715,True,0.0100174927114,0.000417876918203,0.0099999999984,0.0200000000004,99.8253783469,2,"[1, 2]"
77,5,supplementary_operation,1,[5],True,1629,118406,120034,1,True,22368.91,22385.2,22368.91,22385.2,16.29,0,0,1628,True,0.0100061425061,0.000247764668685,0.0099999999984,0.0200000000004,99.9386126458,3,"[0, 1, 2]"
78,0,normal_tightening,1,[0],True,1821,120035,121855,1,True,22385.21,22403.41,22385.21,22403.41,18.2,0,0,1820,True,0.01,0,0.0099999999984,0.010000000002,100,3,"[0, 1, 2]"
79,5,supplementary_operation,1,[5],True,1578,121856,123433,1,True,22403.42,22419.38,22403.42,22419.38,15.96,0,0,1577,True,0.0101204819277,0.00109101025759,0.0099999999984,0.0200000000004,98.8095238095,3,"[0, 1, 2]"
80,0,normal_tightening,1,[0],True,1720,123434,125153,1,True,22419.39,22436.76,22419.39,22436.76,17.37,0,0,1719,True,0.0101047120419,0.00101791738717,0.0099999999984,0.0200000000004,98.96373057,3,"[0, 1, 2]"
81,5,supplementary_operation,1,[5],True,1687,125154,126840,1,True,22436.77,22453.67,22436.77,22453.67,16.9,0,0,1686,True,0.0100237247924,0.000486502886247,0.0099999999984,0.0200000000004,99.7633136095,3,"[0, 1, 2]"
82,0,normal_tightening,1,[0],True,1716,126841,128556,1,True,22453.68,22470.85,22453.68,22470.85,17.17,0,0,1715,True,0.0100116618076,0.000341294708508,0.0099999999984,0.0200000000004,99.8835177636,3,"[0, 1, 2]"
83,5,supplementary_operation,1,[5],True,1702,128557,130258,1,True,22470.86,22487.89,22470.86,22487.89,17.03,0,0,1701,True,0.0100117577895,0.000342694688828,0.0099999999984,0.0200000000004,99.8825601879,2,"[1, 2]"
84,0,normal_tightening,1,[0],True,1721,130259,131979,1,True,22487.9,22505.1,22487.9,22505.1,17.2,0,0,1720,True,0.01,0,0.0099999999984,0.010000000002,100,3,"[0, 1, 2]"
85,5,supplementary_operation,1,[5],True,1716,131980,133695,1,True,22505.11,22522.26,22505.11,22522.26,17.15,0,0,1715,True,0.01,0,0.0099999999984,0.010000000002,100,3,"[0, 1, 2]"
86,0,normal_tightening,1,[0],True,1774,133696,135469,1,True,22522.27,22540,22522.27,22540,17.73,0,0,1773,True,0.01,0,0.0099999999984,0.010000000002,100,3,"[0, 1, 2]"
87,5,supplementary_operation,1,[5],True,1704,135470,137173,1,True,22540.01,22557.04,22540.01,22557.04,17.03,0,0,1703,True,0.01,0,0.0099999999984,0.010000000002,100,2,"[1, 2]"
88,0,normal_tightening,1,[0],True,1765,137174,138938,1,True,22557.05,22574.69,22557.05,22574.69,17.64,0,0,1764,True,0.01,0,0.0099999999984,0.010000000002,100,3,"[0, 1, 2]"
89,5,supplementary_operation,1,[5],True,1719,138939,140657,1,True,22574.7,22591.89,22574.7,22591.89,17.19,0,0,1718,True,0.0100058207218,0.000241191494161,0.0099999999984,0.0199999999968,99.9418266434,3,"[0, 1, 2]"
90,0,normal_tightening,1,[0],True,1701,140658,142358,1,True,22591.9,22608.9,22591.9,22608.9,17,0,0,1700,True,0.01,0,0.0099999999984,0.010000000002,100,3,"[0, 1, 2]"
91,5,supplementary_operation,1,[5],True,1705,142359,144063,1,True,22608.91,22625.95,22608.91,22625.95,17.04,0,0,1704,True,0.01,0,0.0099999999984,0.010000000002,100,3,"[0, 1, 2]"
92,0,normal_tightening,1,[0],True,1724,144064,145787,1,True,22625.96,22643.22,22625.96,22643.22,17.26,0,0,1723,True,0.0100174114916,0.000416907370741,0.0099999999984,0.0200000000004,99.8261877173,3,"[0, 1, 2]"
93,5,supplementary_operation,1,[5],True,1692,145788,147479,1,True,22643.23,22660.15,22643.23,22660.15,16.92,0,0,1691,True,0.0100059136606,0.000243108276576,0.0099999999984,0.0199999999968,99.9408983451,3,"[0, 1, 2]"
94,0,normal_tightening,1,[0],True,2230,147480,149709,1,True,22660.16,22682.46,22660.16,22682.46,22.3,0,0,2229,True,0.0100044863167,0.000211761753562,0.0099999999984,0.0199999999968,99.9551569507,3,"[0, 1, 2]"
95,5,supplementary_operation,1,[5],True,1674,149710,151383,1,True,22682.47,22699.21,22682.47,22699.21,16.74,0,0,1673,True,0.0100059772863,0.000244411814629,0.0099999999984,0.0199999999968,99.9402628435,3,"[0, 1, 2]"
96,0,normal_tightening,1,[0],True,1827,151384,153210,1,True,22699.22,22717.49,22699.22,22717.49,18.27,0,0,1826,True,0.0100054764513,0.000233954100374,0.0099999999984,0.0200000000004,99.9452654625,3,"[0, 1, 2]"
97,5,supplementary_operation,1,[5],True,1723,153211,154933,1,True,22717.5,22734.87,22717.5,22734.87,17.37,0,0,1722,True,0.0100871080139,0.00115241850364,0.0099999999984,0.0400000000009,99.1364421416,3,"[0, 1, 2]"
98,0,normal_tightening,1,[0],True,2228,154934,157161,1,True,22734.88,22757.37,22734.88,22757.37,22.49,0,0,2227,True,0.0100987876066,0.00103340407892,0.0099999999984,0.0299999999988,99.0217874611,2,"[1, 2]"
99,5,supplementary_operation,1,[5],True,1622,157162,158783,1,True,22757.38,22773.63,22757.38,22773.63,16.25,0,0,1621,True,0.0100246761258,0.000496137427808,0.0099999999984,0.0200000000004,99.7538461538,3,"[0, 1, 2]"
100,0,normal_tightening,1,[0],True,1865,158784,160648,1,True,22773.64,22792.35,22773.64,22792.35,18.71,0,0,1864,True,0.0100375536481,0.000693846050289,0.0099999999984,0.0299999999988,99.6258685195,2,"[1, 2]"
101,5,supplementary_operation,1,[5],True,1602,160649,162250,1,True,22792.36,22808.39,22792.36,22808.39,16.03,0,0,1601,True,0.0100124921924,0.000499687695161,0.0099999999984,0.0299999999988,99.8752339364,3,"[0, 1, 2]"
102,0,normal_tightening,1,[0],True,1731,162251,163981,1,True,22808.4,22825.7,22808.4,22825.7,17.3,0,0,1730,True,0.01,0,0.0099999999984,0.010000000002,100,3,"[0, 1, 2]"
103,5,supplementary_operation,1,[5],True,1609,163982,165590,1,True,22825.71,22841.81,22825.71,22841.81,16.1,0,0,1608,True,0.0100124378109,0.00049859955859,0.0099999999984,0.0300000000025,99.8757763975,3,"[0, 1, 2]"
104,0,normal_tightening,1,[0],True,1730,165591,167320,1,True,22841.82,22859.12,22841.82,22859.12,17.3,0,0,1729,True,0.01000578369,0.000240423478215,0.0099999999984,0.0200000000004,99.9421965318,3,"[0, 1, 2]"
105,5,supplementary_operation,1,[5],True,1603,167321,168923,1,True,22859.13,22875.15,22859.13,22875.15,16.02,0,0,1602,True,0.01,2.01637252184e-10,0.0099999999984,0.010000000002,100,2,"[1, 2]"
106,0,normal_tightening,1,[0],True,1752,168924,170675,1,True,22875.16,22892.7,22875.16,22892.7,17.54,0,0,1751,True,0.0100171330668,0.000534095096034,0.0099999999984,0.0299999999988,99.8289623717,3,"[0, 1, 2]"
107,5,supplementary_operation,1,[5],True,1588,170676,172263,1,True,22892.71,22908.6,22892.71,22908.6,15.89,0,0,1587,True,0.0100126023945,0.000501885513654,0.0099999999984,0.0300000000025,99.8741346759,3,"[0, 1, 2]"
108,0,normal_tightening,1,[0],True,1750,172264,174013,1,True,22908.61,22926.12,22908.61,22926.12,17.51,0,0,1749,True,0.0100114351058,0.000337964933259,0.0099999999984,0.0200000000004,99.8857795545,2,"[1, 2]"
109,5,supplementary_operation,1,[5],True,1605,174014,175618,1,True,22926.13,22942.26,22926.13,22942.26,16.13,0,0,1604,True,0.0100561097257,0.000826218636202,0.0099999999984,0.0299999999988,99.442033478,3,"[0, 1, 2]"
110,0,normal_tightening,1,[0],True,1792,175619,177410,1,True,22942.27,22960.18,22942.27,22960.18,17.91,0,0,1791,True,0.01,0,0.0099999999984,0.010000000002,100,3,"[0, 1, 2]"
111,5,supplementary_operation,1,[5],True,1649,177411,179059,1,True,22960.19,22976.68,22960.19,22976.68,16.49,0,0,1648,True,0.0100060679612,0.000246257571463,0.0099999999984,0.0200000000004,99.9393571862,3,"[0, 1, 2]"
112,0,normal_tightening,1,[0],True,1706,179060,180765,1,True,22976.69,22993.75,22976.69,22993.75,17.06,0,0,1705,True,0.0100058651026,0.00024210870899,0.0099999999984,0.0200000000004,99.9413833529,3,"[0, 1, 2]"
113,5,supplementary_operation,1,[5],True,1699,180766,182464,1,True,22993.76,23010.75,22993.76,23010.75,16.99,0,0,1698,True,0.0100058892815,0.000242606948379,0.0099999999984,0.0199999999968,99.9411418481,3,"[0, 1, 2]"
114,0,normal_tightening,1,[0],True,1722,182465,184186,1,True,23010.76,23027.97,23010.76,23027.97,17.21,0,0,1721,True,0.01,0,0.0099999999984,0.010000000002,100,3,"[0, 1, 2]"
115,5,supplementary_operation,1,[5],True,1701,184187,185887,1,True,23027.98,23044.99,23027.98,23044.99,17.01,0,0,1700,True,0.0100058823529,0.000242464280546,0.0099999999984,0.0200000000004,99.9412110523,2,"[1, 2]"
116,0,normal_tightening,1,[0],True,1703,185888,187590,1,True,23045,23062.02,23045,23062.02,17.02,0,0,1702,True,0.01,0,0.0099999999984,0.010000000002,100,3,"[0, 1, 2]"
117,5,supplementary_operation,1,[5],True,1632,187591,189222,1,True,23062.03,23078.34,23062.03,23078.34,16.31,0,0,1631,True,0.01,0,0.0099999999984,0.010000000002,100,2,"[1, 2]"
118,0,normal_tightening,1,[0],True,1724,189223,190946,1,True,23078.35,23095.58,23078.35,23095.58,17.23,0,0,1723,True,0.01,0,0.0099999999984,0.010000000002,100,3,"[0, 1, 2]"
119,5,supplementary_operation,1,[5],True,1580,190947,192526,1,True,23095.59,23111.39,23095.59,23111.39,15.8,0,0,1579,True,0.0100063331222,0.000251577252273,0.0099999999984,0.0200000000004,99.9367088608,3,"[0, 1, 2]"
120,0,normal_tightening,1,[0],True,1698,192527,194224,1,True,23111.4,23128.37,23111.4,23128.37,16.97,0,0,1697,True,0.01,0,0.0099999999984,0.010000000002,100,3,"[0, 1, 2]"
121,5,supplementary_operation,1,[5],True,1581,194225,195805,1,True,23128.38,23144.18,23128.38,23144.18,15.8,0,0,1580,True,0.01,3.49245965481e-10,0.0099999999984,0.010000000002,100,3,"[0, 1, 2]"
