column,normalized_column,dtype,block_name,block_column_index,id_terms,label_terms,time_terms,operation_terms
actual_TCP_force_3,actual_tcp_force_3,float64,block1_values,70,,,,
actual_TCP_force_4,actual_tcp_force_4,float64,block1_values,71,,,,
actual_TCP_force_5,actual_tcp_force_5,float64,block1_values,72,,,,
target_TCP_pose_0,target_tcp_pose_0,float64,block1_values,73,,,,
target_TCP_pose_1,target_tcp_pose_1,float64,block1_values,74,,,,
target_TCP_pose_2,target_tcp_pose_2,float64,block1_values,75,,,,
target_TCP_pose_3,target_tcp_pose_3,float64,block1_values,76,,,,
target_TCP_pose_4,target_tcp_pose_4,float64,block1_values,77,,,,
target_TCP_pose_5,target_tcp_pose_5,float64,block1_values,78,,,,
target_TCP_speed_0,target_tcp_speed_0,float64,block1_values,79,,,,
target_TCP_speed_1,target_tcp_speed_1,float64,block1_values,80,,,,
target_TCP_speed_2,target_tcp_speed_2,float64,block1_values,81,,,,
target_TCP_speed_3,target_tcp_speed_3,float64,block1_values,82,,,,
target_TCP_speed_4,target_tcp_speed_4,float64,block1_values,83,,,,
target_TCP_speed_5,target_tcp_speed_5,float64,block1_values,84,,,,
joint_temperatures_0,joint_temperatures_0,float64,block1_values,85,,,,
joint_temperatures_1,joint_temperatures_1,float64,block1_values,86,,,,
joint_temperatures_2,joint_temperatures_2,float64,block1_values,87,,,,
joint_temperatures_3,joint_temperatures_3,float64,block1_values,88,,,,
joint_temperatures_4,joint_temperatures_4,float64,block1_values,89,,,,
joint_temperatures_5,joint_temperatures_5,float64,block1_values,90,,,,
actual_execution_time,actual_execution_time,float64,block1_values,91,execution,,time,
actual_tool_accelerometer_0,actual_tool_accelerometer_0,float64,block1_values,92,,,,
actual_tool_accelerometer_1,actual_tool_accelerometer_1,float64,block1_values,93,,,,
actual_tool_accelerometer_2,actual_tool_accelerometer_2,float64,block1_values,94,,,,
speed_scaling,speed_scaling,float64,block1_values,95,,,,
target_speed_fraction,target_speed_fraction,float64,block1_values,96,,,,action
actual_momentum,actual_momentum,float64,block1_values,97,,,,
actual_main_voltage,actual_main_voltage,float64,block1_values,98,,,,
actual_robot_voltage,actual_robot_voltage,float64,block1_values,99,,,,
actual_robot_current,actual_robot_current,float64,block1_values,100,,,,
actual_joint_voltage_0,actual_joint_voltage_0,float64,block1_values,101,,,,
actual_joint_voltage_1,actual_joint_voltage_1,float64,block1_values,102,,,,
actual_joint_voltage_2,actual_joint_voltage_2,float64,block1_values,103,,,,
actual_joint_voltage_3,actual_joint_voltage_3,float64,block1_values,104,,,,
actual_joint_voltage_4,actual_joint_voltage_4,float64,block1_values,105,,,,
actual_joint_voltage_5,actual_joint_voltage_5,float64,block1_values,106,,,,
output_double_register_24,output_double_register_24,float64,block1_values,107,,,,
output_double_register_25,output_double_register_25,float64,block1_values,108,,,,
output_double_register_26,output_double_register_26,float64,block1_values,109,,,,
output_double_register_27,output_double_register_27,float64,block1_values,110,,,,
actual_digital_input_bits,actual_digital_input_bits,int64,block2_values,0,,,,
robot_mode,robot_mode,int64,block2_values,1,,,,
joint_mode_0,joint_mode_0,int64,block2_values,2,,,,
joint_mode_1,joint_mode_1,int64,block2_values,3,,,,
joint_mode_2,joint_mode_2,int64,block2_values,4,,,,
joint_mode_3,joint_mode_3,int64,block2_values,5,,,,
joint_mode_4,joint_mode_4,int64,block2_values,6,,,,
joint_mode_5,joint_mode_5,int64,block2_values,7,,,,
safety_mode,safety_mode,int64,block2_values,8,,,,
actual_digital_output_bits,actual_digital_output_bits,int64,block2_values,9,,,,
runtime_state,runtime_state,int64,block2_values,10,run,,time,
output_int_register_24,output_int_register_24,int64,block2_values,11,,,,
output_int_register_25,output_int_register_25,int64,block2_values,12,,,,
output_int_register_26,output_int_register_26,int64,block2_values,13,,,,
label,label,int64,block2_values,14,,label,,
sample_nr,sample_nr,int32,block3_values,0,sample,,,
